"#","Name","G","MIN","FGM","FGA","2PM","2PA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","DEF","TO","PF","CHG","PM","PTS"
0,"Hakeem Rodriguez",1,0,6,12,4,7,2,5,1,4,3,3,6,0,0,0,0,0,2,0,0,15
2,"Fred Linton",1,0,0,5,0,1,0,4,0,0,2,1,3,0,1,0,0,0,2,0,0,0
5,"Hanif Harris",1,0,1,5,1,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2
10," ",1,0,0,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
11,"Quincy Francis",1,0,0,0,0,0,0,0,0,2,3,2,5,0,0,0,0,0,2,0,0,0
12,"Shariff Harris",1,0,1,7,1,5,0,2,0,0,2,5,7,1,0,0,0,0,1,0,0,2
13,"Kashif Harris",1,0,4,8,3,5,1,3,1,2,1,3,4,0,1,0,0,1,2,0,0,10
21,"Mikaal Shamsiddeen",1,0,6,16,5,14,1,2,4,8,1,3,4,0,0,0,0,0,0,0,0,17
22,"Muhammad Shamsiddeen",1,0,2,6,2,6,0,0,0,0,5,0,5,0,2,0,0,1,3,0,0,4
," TEAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOTALS",1,40,20,61,16,45,4,16,6,16,18,19,37,1,5,0,0,2,12,0,-3,50
