"#","Name","G","MIN","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","DEF","TO","PF","CHG","PM","PTS"
0,"Aaron Kogel Smucker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"Jason Lamountain",1,44,1,6,.167,1,2,.500,0,4,0,0,2,0,3,6,9,0,1,1,0,0,3,0,-5,2
1,"Gabriel Acosta-Cohen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Andrew Gross",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Zach Itzkowitz",1,43,3,13,.231,3,8,.375,0,5,0,5,11,.455,1,2,3,1,3,0,0,0,2,0,-2,11
5,"Sam Pitt-Stoller",1,12,0,3,0,0,2,0,0,1,0,0,0,0,0,3,3,1,0,0,0,0,1,0,-3,0
11,"Michael Barrett",1,41,1,8,.125,1,5,.200,0,3,0,1,6,.167,5,5,10,0,0,0,0,0,2,0,-6,3
15,"Matthew Silverman",1,33,2,4,.500,1,3,.333,1,1,1.000,2,3,.667,1,2,3,0,1,0,0,0,3,0,-4,7
23,"Hershel Korngut",1,9,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,-4,0
30,"Jesse Campoamor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Jack Barrett",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Zach Leopold",1,41,0,5,0,0,2,0,0,3,0,0,0,0,2,1,3,1,1,0,0,0,4,0,-1,0
," TEAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,"TOTALS",1,44,7,40,.175,6,23,.261,1,17,.059,8,22,.364,13,20,33,3,6,1,0,5,15,0,-5,23
